customer_id,event_timestamp,age,balance,duration,campaign,previous,job,marital,education,default,housing,loan,contact,month,poutcome,y
24,2025-11-10 19:09:12.766960+00:00,25,50,342,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
25,2025-11-10 19:09:12.766960+00:00,40,0,181,1,0,retired,married,primary,no,yes,yes,cellular,may,failure,no
26,2025-11-10 19:09:12.766960+00:00,44,-372,172,1,0,admin.,married,secondary,no,yes,no,cellular,may,failure,no
27,2025-11-10 19:09:12.766960+00:00,39,255,296,1,0,management,single,tertiary,no,yes,no,cellular,may,failure,no
28,2025-11-10 19:09:12.766960+00:00,52,113,127,1,0,entrepreneur,married,secondary,no,yes,yes,cellular,may,failure,no
29,2025-11-10 19:09:12.766960+00:00,46,-246,255,2,0,management,single,secondary,no,yes,no,cellular,may,failure,no
30,2025-11-10 19:09:12.766960+00:00,36,265,348,1,0,technician,single,secondary,no,yes,yes,cellular,may,failure,no
31,2025-11-10 19:09:12.766960+00:00,57,839,225,1,0,technician,married,secondary,no,no,yes,cellular,may,failure,no
32,2025-11-10 19:09:12.766960+00:00,49,378,230,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
33,2025-11-10 19:09:12.766960+00:00,60,39,208,1,0,admin.,married,secondary,no,yes,yes,cellular,may,failure,no
34,2025-11-10 19:09:12.766960+00:00,59,0,226,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
35,2025-11-10 19:09:12.766960+00:00,51,10635,336,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
36,2025-11-10 19:09:12.766960+00:00,57,63,242,1,0,technician,divorced,secondary,no,yes,no,cellular,may,failure,no
37,2025-11-10 19:09:12.766960+00:00,25,-7,365,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
38,2025-11-10 19:09:12.766960+00:00,53,-3,1666,1,0,technician,married,secondary,no,no,no,cellular,may,failure,no
39,2025-11-10 19:09:12.766960+00:00,36,506,577,1,0,admin.,divorced,secondary,no,yes,no,cellular,may,failure,no
40,2025-11-10 19:09:12.766960+00:00,37,0,137,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
41,2025-11-10 19:09:12.766960+00:00,44,2586,160,1,0,services,divorced,secondary,no,yes,no,cellular,may,failure,no
42,2025-11-10 19:09:12.766960+00:00,50,49,180,2,0,management,married,secondary,no,yes,no,cellular,may,failure,no
43,2025-11-10 19:09:12.766960+00:00,60,104,22,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
44,2025-11-10 19:09:12.766960+00:00,54,529,1492,1,0,retired,married,secondary,no,yes,no,cellular,may,failure,no
45,2025-11-10 19:09:12.766960+00:00,58,96,616,1,0,retired,married,secondary,no,yes,no,cellular,may,failure,no
46,2025-11-10 19:09:12.766960+00:00,36,-171,242,1,0,admin.,single,primary,no,yes,no,cellular,may,failure,no
47,2025-11-10 19:09:12.766960+00:00,58,-364,355,1,0,self-employed,married,tertiary,no,yes,no,cellular,may,failure,no
48,2025-11-10 19:09:12.766960+00:00,44,0,225,2,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
49,2025-11-10 19:09:12.766960+00:00,55,0,160,1,0,technician,divorced,secondary,no,no,no,cellular,may,failure,no
50,2025-11-10 19:09:12.766960+00:00,29,0,363,1,0,management,single,tertiary,no,yes,no,cellular,may,failure,no
51,2025-11-10 19:09:12.766960+00:00,54,1291,266,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
52,2025-11-10 19:09:12.766960+00:00,48,-244,253,1,0,management,divorced,tertiary,no,yes,no,cellular,may,failure,no
53,2025-11-10 19:09:12.766960+00:00,32,0,179,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
54,2025-11-10 19:09:12.766960+00:00,42,-76,787,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
55,2025-11-10 19:09:12.766960+00:00,24,-103,145,1,0,technician,single,secondary,no,yes,yes,cellular,may,failure,no
56,2025-11-10 19:09:12.766960+00:00,38,243,174,1,0,entrepreneur,single,tertiary,no,no,yes,cellular,may,failure,no
57,2025-11-10 19:09:12.766960+00:00,38,424,104,1,0,management,single,tertiary,no,yes,no,cellular,may,failure,no
58,2025-11-10 19:09:12.766960+00:00,47,306,13,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
59,2025-11-10 19:09:12.766960+00:00,40,24,185,1,0,blue-collar,single,secondary,no,yes,no,cellular,may,failure,no
60,2025-11-10 19:09:12.766960+00:00,46,179,1778,1,0,services,married,primary,no,yes,no,cellular,may,failure,no
61,2025-11-10 19:09:12.766960+00:00,32,0,138,1,0,admin.,married,tertiary,no,yes,no,cellular,may,failure,no
62,2025-11-10 19:09:12.766960+00:00,53,989,812,1,0,technician,divorced,secondary,no,yes,no,cellular,may,failure,no
63,2025-11-10 19:09:12.766960+00:00,57,249,164,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
64,2025-11-10 19:09:12.766960+00:00,33,790,391,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
65,2025-11-10 19:09:12.766960+00:00,49,154,357,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
66,2025-11-10 19:09:12.766960+00:00,51,6530,91,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
67,2025-11-10 19:09:12.766960+00:00,60,100,528,1,0,retired,married,tertiary,no,no,no,cellular,may,failure,no
68,2025-11-10 19:09:12.766960+00:00,59,59,273,1,0,management,divorced,tertiary,no,yes,no,cellular,may,failure,no
69,2025-11-10 19:09:12.766960+00:00,55,1205,158,2,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
70,2025-11-10 19:09:12.766960+00:00,35,12223,177,1,0,blue-collar,single,secondary,no,yes,yes,cellular,may,failure,no
71,2025-11-10 19:09:12.766960+00:00,57,5935,258,1,0,blue-collar,married,secondary,no,yes,yes,cellular,may,failure,no
72,2025-11-10 19:09:12.766960+00:00,31,25,172,1,0,services,married,secondary,no,yes,yes,cellular,may,failure,no
73,2025-11-10 19:09:12.766960+00:00,54,282,154,1,0,management,married,secondary,no,yes,yes,cellular,may,failure,no
74,2025-11-10 19:09:12.766960+00:00,55,23,291,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
75,2025-11-10 19:09:12.766960+00:00,43,1937,181,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
76,2025-11-10 19:09:12.766960+00:00,53,384,176,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
77,2025-11-10 19:09:12.766960+00:00,44,582,211,1,0,blue-collar,married,secondary,no,no,yes,cellular,may,failure,no
78,2025-11-10 19:09:12.766960+00:00,55,91,349,1,0,services,divorced,secondary,no,no,no,cellular,may,failure,no
79,2025-11-10 19:09:12.766960+00:00,49,0,272,1,0,services,divorced,secondary,no,yes,yes,cellular,may,failure,no
80,2025-11-10 19:09:12.766960+00:00,55,1,208,1,0,services,divorced,secondary,yes,yes,no,cellular,may,failure,no
81,2025-11-10 19:09:12.766960+00:00,45,206,193,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
82,2025-11-10 19:09:12.766960+00:00,47,164,212,1,0,services,divorced,secondary,no,no,no,cellular,may,failure,no
83,2025-11-10 19:09:12.766960+00:00,42,690,20,1,0,technician,single,secondary,no,yes,no,cellular,may,failure,no
84,2025-11-10 19:09:12.766960+00:00,59,2343,1042,1,0,admin.,married,secondary,no,yes,no,cellular,may,failure,yes
85,2025-11-10 19:09:12.766960+00:00,46,137,246,1,0,self-employed,married,tertiary,no,yes,yes,cellular,may,failure,no
86,2025-11-10 19:09:12.766960+00:00,51,173,529,2,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
87,2025-11-10 19:09:12.766960+00:00,56,45,1467,1,0,admin.,married,secondary,no,no,no,cellular,may,failure,yes
88,2025-11-10 19:09:12.766960+00:00,41,1270,1389,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,yes
89,2025-11-10 19:09:12.766960+00:00,46,16,188,2,0,management,divorced,secondary,no,yes,yes,cellular,may,failure,no
90,2025-11-10 19:09:12.766960+00:00,57,486,180,2,0,retired,married,secondary,no,yes,no,cellular,may,failure,no
91,2025-11-10 19:09:12.766960+00:00,42,50,48,1,0,management,single,secondary,no,no,no,cellular,may,failure,no
92,2025-11-10 19:09:12.766960+00:00,30,152,213,2,0,technician,married,secondary,no,yes,yes,cellular,may,failure,no
93,2025-11-10 19:09:12.766960+00:00,60,290,583,1,0,admin.,married,secondary,no,yes,no,cellular,may,failure,no
94,2025-11-10 19:09:12.766960+00:00,60,54,221,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
95,2025-11-10 19:09:12.766960+00:00,57,-37,173,1,0,entrepreneur,divorced,secondary,no,no,no,cellular,may,failure,no
96,2025-11-10 19:09:12.766960+00:00,36,101,426,1,0,management,married,tertiary,no,yes,yes,cellular,may,failure,no
97,2025-11-10 19:09:12.766960+00:00,55,383,287,1,0,blue-collar,married,secondary,no,no,no,cellular,may,failure,no
98,2025-11-10 19:09:12.766960+00:00,60,81,101,1,0,retired,married,tertiary,no,yes,no,cellular,may,failure,no
99,2025-11-10 19:09:12.766960+00:00,39,0,203,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
100,2025-11-10 19:09:12.766960+00:00,46,229,197,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
101,2025-11-10 19:09:12.766960+00:00,44,-674,257,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
102,2025-11-10 19:09:12.766960+00:00,53,90,124,1,0,blue-collar,married,primary,no,no,no,cellular,may,failure,no
103,2025-11-10 19:09:12.766960+00:00,52,128,229,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
104,2025-11-10 19:09:12.766960+00:00,59,179,55,3,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
105,2025-11-10 19:09:12.766960+00:00,27,0,400,1,0,technician,single,tertiary,no,yes,no,cellular,may,failure,no
106,2025-11-10 19:09:12.766960+00:00,44,54,197,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
107,2025-11-10 19:09:12.766960+00:00,47,151,190,1,0,technician,married,tertiary,no,yes,no,cellular,may,failure,no
108,2025-11-10 19:09:12.766960+00:00,34,61,21,1,0,admin.,married,secondary,no,no,yes,cellular,may,failure,no
109,2025-11-10 19:09:12.766960+00:00,59,30,514,1,0,retired,single,secondary,no,yes,no,cellular,may,failure,no
110,2025-11-10 19:09:12.766960+00:00,45,523,849,2,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
111,2025-11-10 19:09:12.766960+00:00,29,31,194,1,0,services,divorced,secondary,no,yes,no,cellular,may,failure,no
112,2025-11-10 19:09:12.766960+00:00,46,79,144,1,0,technician,divorced,secondary,no,no,no,cellular,may,failure,no
113,2025-11-10 19:09:12.766960+00:00,56,-34,212,2,0,self-employed,married,primary,no,yes,yes,cellular,may,failure,no
114,2025-11-10 19:09:12.766960+00:00,36,448,286,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
115,2025-11-10 19:09:12.766960+00:00,59,81,107,1,0,retired,divorced,primary,no,yes,no,cellular,may,failure,no
116,2025-11-10 19:09:12.766960+00:00,44,144,247,2,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
117,2025-11-10 19:09:12.766960+00:00,41,351,518,1,0,admin.,married,secondary,no,yes,no,cellular,may,failure,no
118,2025-11-10 19:09:12.766960+00:00,33,-67,364,1,0,management,single,tertiary,no,yes,no,cellular,may,failure,no
119,2025-11-10 19:09:12.766960+00:00,59,262,178,1,0,management,divorced,tertiary,no,no,no,cellular,may,failure,no
120,2025-11-10 19:09:12.766960+00:00,57,0,98,1,0,technician,married,primary,no,no,no,cellular,may,failure,no
121,2025-11-10 19:09:12.766960+00:00,56,56,439,1,0,technician,divorced,secondary,no,yes,no,cellular,may,failure,no
122,2025-11-10 19:09:12.766960+00:00,51,26,79,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
123,2025-11-10 19:09:12.766960+00:00,34,3,120,3,0,admin.,married,secondary,no,yes,no,cellular,may,failure,no
124,2025-11-10 19:09:12.766960+00:00,43,41,127,2,0,services,married,secondary,no,yes,yes,cellular,may,failure,no
125,2025-11-10 19:09:12.766960+00:00,52,7,175,1,0,technician,married,tertiary,no,no,yes,cellular,may,failure,no
126,2025-11-10 19:09:12.766960+00:00,33,105,262,2,0,technician,single,secondary,no,yes,no,cellular,may,failure,no
127,2025-11-10 19:09:12.766960+00:00,29,818,61,1,0,admin.,single,secondary,no,yes,yes,cellular,may,failure,no
128,2025-11-10 19:09:12.766960+00:00,34,-16,78,1,0,services,married,secondary,no,yes,yes,cellular,may,failure,no
129,2025-11-10 19:09:12.766960+00:00,31,0,143,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
130,2025-11-10 19:09:12.766960+00:00,55,2476,579,1,0,services,married,secondary,no,yes,no,cellular,may,failure,yes
131,2025-11-10 19:09:12.766960+00:00,55,1185,677,1,0,management,married,secondary,no,no,no,cellular,may,failure,no
132,2025-11-10 19:09:12.766960+00:00,32,217,345,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
133,2025-11-10 19:09:12.766960+00:00,38,1685,185,1,0,technician,single,secondary,no,yes,no,cellular,may,failure,no
134,2025-11-10 19:09:12.766960+00:00,55,802,100,2,0,admin.,single,secondary,no,yes,yes,cellular,may,failure,no
135,2025-11-10 19:09:12.766960+00:00,28,0,125,2,0,unemployed,single,tertiary,no,yes,no,cellular,may,failure,no
136,2025-11-10 19:09:12.766960+00:00,23,94,193,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
137,2025-11-10 19:09:12.766960+00:00,32,0,136,1,0,technician,single,secondary,no,yes,no,cellular,may,failure,no
138,2025-11-10 19:09:12.766960+00:00,43,0,73,1,0,services,single,secondary,no,no,no,cellular,may,failure,no
139,2025-11-10 19:09:12.766960+00:00,32,517,528,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
140,2025-11-10 19:09:12.766960+00:00,46,265,541,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
141,2025-11-10 19:09:12.766960+00:00,53,947,163,1,0,housemaid,divorced,primary,no,yes,no,cellular,may,failure,no
142,2025-11-10 19:09:12.766960+00:00,34,3,301,1,0,self-employed,single,secondary,no,yes,no,cellular,may,failure,no
143,2025-11-10 19:09:12.766960+00:00,57,42,46,1,0,unemployed,married,tertiary,no,no,no,cellular,may,failure,no
144,2025-11-10 19:09:12.766960+00:00,37,37,204,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
145,2025-11-10 19:09:12.766960+00:00,59,57,98,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
146,2025-11-10 19:09:12.766960+00:00,33,22,71,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
147,2025-11-10 19:09:12.766960+00:00,56,8,157,2,0,blue-collar,divorced,primary,no,yes,no,cellular,may,failure,no
148,2025-11-10 19:09:12.766960+00:00,48,293,243,1,0,unemployed,married,secondary,no,yes,no,cellular,may,failure,no
149,2025-11-10 19:09:12.766960+00:00,43,3,186,2,0,services,married,primary,no,yes,no,cellular,may,failure,no
150,2025-11-10 19:09:12.766960+00:00,54,348,579,2,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
151,2025-11-10 19:09:12.766960+00:00,51,-19,163,2,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
152,2025-11-10 19:09:12.766960+00:00,26,0,610,2,0,student,single,secondary,no,yes,no,cellular,may,failure,no
153,2025-11-10 19:09:12.766960+00:00,40,-4,2033,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
154,2025-11-10 19:09:12.766960+00:00,39,18,85,1,0,management,married,secondary,no,yes,no,cellular,may,failure,no
155,2025-11-10 19:09:12.766960+00:00,50,139,114,2,0,technician,married,primary,no,no,no,cellular,may,failure,no
156,2025-11-10 19:09:12.766960+00:00,41,0,114,2,0,services,married,secondary,no,yes,no,cellular,may,failure,no
157,2025-11-10 19:09:12.766960+00:00,51,1883,57,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
158,2025-11-10 19:09:12.766960+00:00,60,216,238,1,0,retired,divorced,secondary,no,yes,no,cellular,may,failure,no
159,2025-11-10 19:09:12.766960+00:00,52,782,93,3,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
160,2025-11-10 19:09:12.766960+00:00,48,904,128,2,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
161,2025-11-10 19:09:12.766960+00:00,48,1705,107,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
162,2025-11-10 19:09:12.766960+00:00,39,47,181,1,0,technician,single,tertiary,no,yes,no,cellular,may,failure,no
163,2025-11-10 19:09:12.766960+00:00,47,176,303,2,0,services,single,secondary,no,yes,no,cellular,may,failure,no
164,2025-11-10 19:09:12.766960+00:00,40,1225,558,5,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
165,2025-11-10 19:09:12.766960+00:00,45,86,270,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
166,2025-11-10 19:09:12.766960+00:00,26,82,228,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
167,2025-11-10 19:09:12.766960+00:00,52,271,99,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
168,2025-11-10 19:09:12.766960+00:00,54,1378,240,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
169,2025-11-10 19:09:12.766960+00:00,54,184,673,2,0,admin.,married,tertiary,no,no,no,cellular,may,failure,yes
170,2025-11-10 19:09:12.766960+00:00,50,0,233,3,0,blue-collar,married,primary,no,no,no,cellular,may,failure,no
171,2025-11-10 19:09:12.766960+00:00,35,0,1056,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
172,2025-11-10 19:09:12.766960+00:00,44,1357,250,1,0,services,married,secondary,no,yes,yes,cellular,may,failure,no
173,2025-11-10 19:09:12.766960+00:00,53,19,252,1,0,entrepreneur,married,secondary,no,yes,no,cellular,may,failure,no
174,2025-11-10 19:09:12.766960+00:00,35,434,138,1,0,retired,single,primary,no,no,no,cellular,may,failure,no
175,2025-11-10 19:09:12.766960+00:00,60,92,130,1,0,admin.,divorced,secondary,no,yes,no,cellular,may,failure,no
176,2025-11-10 19:09:12.766960+00:00,53,1151,412,1,0,admin.,divorced,secondary,no,yes,no,cellular,may,failure,no
177,2025-11-10 19:09:12.766960+00:00,48,41,179,2,0,unemployed,married,secondary,no,yes,no,cellular,may,failure,no
178,2025-11-10 19:09:12.766960+00:00,34,51,19,2,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
179,2025-11-10 19:09:12.766960+00:00,54,214,458,2,0,services,married,secondary,no,yes,no,cellular,may,failure,no
180,2025-11-10 19:09:12.766960+00:00,51,1161,717,1,0,management,married,secondary,no,yes,no,cellular,may,failure,no
181,2025-11-10 19:09:12.766960+00:00,31,37,313,1,0,services,married,tertiary,no,yes,no,cellular,may,failure,no
182,2025-11-10 19:09:12.766960+00:00,35,787,683,2,0,technician,divorced,secondary,no,yes,no,cellular,may,failure,no
183,2025-11-10 19:09:12.766960+00:00,35,59,1077,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
184,2025-11-10 19:09:12.766960+00:00,38,253,416,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
185,2025-11-10 19:09:12.766960+00:00,36,211,146,2,0,admin.,married,tertiary,no,yes,no,cellular,may,failure,no
186,2025-11-10 19:09:12.766960+00:00,58,235,167,1,0,retired,married,primary,no,yes,no,cellular,may,failure,no
187,2025-11-10 19:09:12.766960+00:00,40,4384,315,1,0,services,divorced,secondary,no,yes,no,cellular,may,failure,no
188,2025-11-10 19:09:12.766960+00:00,54,4080,140,1,0,management,married,secondary,no,no,no,cellular,may,failure,no
189,2025-11-10 19:09:12.766960+00:00,34,53,346,1,0,blue-collar,single,secondary,no,yes,yes,cellular,may,failure,no
190,2025-11-10 19:09:12.766960+00:00,31,0,562,1,0,management,single,tertiary,no,yes,no,cellular,may,failure,no
191,2025-11-10 19:09:12.766960+00:00,51,2127,172,1,0,retired,married,secondary,no,yes,no,cellular,may,failure,no
192,2025-11-10 19:09:12.766960+00:00,33,377,217,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
193,2025-11-10 19:09:12.766960+00:00,55,73,142,2,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
194,2025-11-10 19:09:12.766960+00:00,42,445,67,1,0,admin.,married,secondary,no,yes,no,cellular,may,failure,no
195,2025-11-10 19:09:12.766960+00:00,34,243,291,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
196,2025-11-10 19:09:12.766960+00:00,33,307,309,2,0,blue-collar,single,secondary,no,yes,no,cellular,may,failure,no
197,2025-11-10 19:09:12.766960+00:00,38,155,248,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
198,2025-11-10 19:09:12.766960+00:00,50,173,98,1,0,technician,divorced,tertiary,no,no,yes,cellular,may,failure,no
199,2025-11-10 19:09:12.766960+00:00,43,400,256,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
200,2025-11-10 19:09:12.766960+00:00,61,1428,82,2,0,blue-collar,divorced,primary,no,yes,no,cellular,may,failure,no
201,2025-11-10 19:09:12.766960+00:00,47,219,577,1,0,admin.,married,secondary,no,yes,no,cellular,may,failure,no
202,2025-11-10 19:09:12.766960+00:00,48,7,286,1,0,self-employed,married,tertiary,no,yes,no,cellular,may,failure,no
203,2025-11-10 19:09:12.766960+00:00,44,575,477,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
204,2025-11-10 19:09:12.766960+00:00,35,298,611,2,0,student,single,secondary,no,yes,no,cellular,may,failure,no
205,2025-11-10 19:09:12.766960+00:00,35,0,471,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
206,2025-11-10 19:09:12.766960+00:00,50,5699,381,2,0,services,married,secondary,no,yes,no,cellular,may,failure,no
207,2025-11-10 19:09:12.766960+00:00,41,176,42,1,0,management,married,tertiary,no,yes,yes,cellular,may,failure,no
208,2025-11-10 19:09:12.766960+00:00,41,517,251,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
209,2025-11-10 19:09:12.766960+00:00,39,257,408,1,0,services,single,secondary,no,yes,no,cellular,may,failure,no
210,2025-11-10 19:09:12.766960+00:00,42,56,215,1,0,retired,married,secondary,no,yes,no,cellular,may,failure,no
211,2025-11-10 19:09:12.766960+00:00,38,-390,287,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
212,2025-11-10 19:09:12.766960+00:00,53,330,216,2,0,retired,married,secondary,no,yes,no,cellular,may,failure,no
213,2025-11-10 19:09:12.766960+00:00,59,195,366,2,0,housemaid,divorced,primary,no,no,no,cellular,may,failure,no
214,2025-11-10 19:09:12.766960+00:00,36,301,210,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
215,2025-11-10 19:09:12.766960+00:00,54,-41,288,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
216,2025-11-10 19:09:12.766960+00:00,40,483,168,1,0,technician,married,tertiary,no,yes,no,cellular,may,failure,no
217,2025-11-10 19:09:12.766960+00:00,47,28,338,2,0,blue-collar,married,secondary,no,no,no,cellular,may,failure,no
218,2025-11-10 19:09:12.766960+00:00,53,13,410,3,0,unemployed,married,secondary,no,no,no,cellular,may,failure,no
219,2025-11-10 19:09:12.766960+00:00,46,965,177,1,0,housemaid,married,primary,no,no,no,cellular,may,failure,no
220,2025-11-10 19:09:12.766960+00:00,39,378,127,2,0,management,married,tertiary,no,yes,yes,cellular,may,failure,no
221,2025-11-10 19:09:12.766960+00:00,40,219,357,1,0,unemployed,married,secondary,no,yes,no,cellular,may,failure,no
222,2025-11-10 19:09:12.766960+00:00,28,324,175,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
223,2025-11-10 19:09:12.766960+00:00,35,-69,300,1,0,entrepreneur,divorced,secondary,no,yes,no,cellular,may,failure,no
224,2025-11-10 19:09:12.766960+00:00,55,0,136,1,0,retired,married,secondary,no,no,yes,cellular,may,failure,no
225,2025-11-10 19:09:12.766960+00:00,43,205,1419,1,0,technician,divorced,secondary,no,yes,no,cellular,may,failure,no
226,2025-11-10 19:09:12.766960+00:00,48,278,125,2,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
227,2025-11-10 19:09:12.766960+00:00,58,1065,213,3,0,management,married,secondary,no,yes,no,cellular,may,failure,no
228,2025-11-10 19:09:12.766960+00:00,33,34,27,1,0,management,single,tertiary,no,yes,no,cellular,may,failure,no
229,2025-11-10 19:09:12.766960+00:00,36,1033,238,2,0,blue-collar,married,secondary,no,no,no,cellular,may,failure,no
230,2025-11-10 19:09:12.766960+00:00,53,1467,124,1,0,services,divorced,secondary,no,yes,no,cellular,may,failure,no
